id,year,assets,debt,earnings,cashflow,sales,mv,ad,rd,fv,mkt,sector
308,1993,10.947,0,.733,-2.737,30.929,27.467501,.64600003,.41800001,1.9856125,3.8409998,1
308,1994,10.707,0,1.772,1.482,41.192,16.674,.99299997,.31999999,.94489586,4.3120003,1
309,1990,1.293,.155,-.972,-.834,1.889,2.8425,.034000002,.001,2.8627224,1.669,1
310,1990,3.964,0,.402,.014,4.608,7.8422437,.122,.68599999,1.2018778,1.551,1
310,1991,5.308,0,1.284,.534,7.803,24.789997,.19599999,.958,3.9613786,2.28,1
310,2013,44.575,0,-4.074,-2.24,33.308,41.515831,.113,7.5190001,.34462884,12.041,1
310,2014,46.412,0,-.183,.827,46.483,63.848839,.296,8.7889996,.88147116,13.364,1
310,2015,44.739,0,-.8100000000000001,-2.389,41.13,51.805801,.41,7.6020002,.62352312,12.116,1
310,2016,59.58,0,7.618,9.124000000000001,66.23999999999999,180.1422,.35600001,8.04,2.5067003,14.341,1
310,2017,59.501,0,2.493,-2.426,53.333,104.7,.40000001,8.0220003,1.1982992,15.145,1
310,2018,69.7,0,4.816,4.096,64.72,125.19063,.31400001,8.8190002,1.2736102,15.962,1
310,2019,72.599,3.141,3.768,2.127,59.263,131.5089,.40799999,9.3620005,1.3510227,15.424,1
311,1994,23.459,.457,4.568,-.787,26.641,32.921001,.391,2.3410001,.80173922,11.223,1
312,1990,49.667,0,5.686,4.856,25.721,41.3535,.31,.66399997,.055197615,2.684,1
312,1991,51.116,0,4.588,2.166,25.276,44.446499,.28999999,.634,.078439236,2.6830001,1
312,1992,53.581,0,4.753,5.597,26.238,44.352001,.28400001,.68900001,.021817435,3.0379999,1
312,1993,55.753,0,5.144,3.706,26.478,41.714748,.20200001,.61299998,-.059516978,2.96,1
312,2001,66.47199999999999,0,-.362,.474,60.491,36.387001,.44100001,8.0050001,-.021949092,15.371,1
312,2002,73.363,0,5.909,8.24,67.73999999999999,45.700199,.33399999,7.783,.056543488,14.552,1
312,2003,71.95,0,3.437,4.307,60.788,52.02,.278,8.7860003,.11261988,15.112,1
312,2004,78.473,0,8.625999999999999,8.025,80.17100000000001,79.764,.46000001,13.948,.41824576,17.965,1
315,1990,3.95,.182,.548,.303,5.974,.52771795,.068999998,.17399999,-.02614736,1.5,1
315,1991,3.569,.267,.588,.659,5.522,.71100003,.046,.121,-.043429531,1.373,1
316,1990,6.91,0,-3.638,-2.899,.8070000000000001,11.5425,.22,.565,2.3436325,2.9920001,5
